Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower
415.72,416.7,415.18,416.39,1766100,1844036,0
416.39,416.55,415.37,415.43,1127000,1837936,0
415.44,415.55,414.48,414.5,927200,1828140,0
414.5,414.69,413.9,414.3099,1133400,1823300,1
414.3,415.26,414.05,414.839,1098500,1830308,1
414.83,415.6266,414.8,415.25,960000,1836422,1
415.25,416.41,414.72,416.39,966200,1842940,1
416.41,417.83,416.23,417.6,1750100,1862230,1
417.6,417.72,416.82,417.68,1113900,1861788,0
417.68,418.09,416.88,417.6,1056900,1856714,1
417.61,418.48,417.59,418.375,850900,1856630,0
418.38,418.56,417.74,417.95,842800,1845986,1
417.96,418.93,417.96,418.67,945600,1840580,0
418.67,418.74,417.51,417.63,794800,1830874,1
417.63,418.4,417.63,417.765,805400,1806474,0
417.765,417.89,417.26,417.6899,522800,1792458,0
417.7,417.94,417.3,417.635,570500,1780874,1
417.635,417.99,417.41,417.9,694600,1755250,1
417.89,418.76,417.65,418.37,1032200,1748560,0
418.37,418.38,415.9525,416.3,1488100,1753820,1
416.3,416.93,416.0501,416.84,946100,1735678,1
416.84,416.97,416.32,416.87,773300,1724524,1
416.87,417.45,416.84,417.27,738700,1707692,0
417.27,417.685,416.59,416.65,822400,1692348,1
416.63,416.9193,416.09,416.69,685500,1663604,1
416.69,417.26,416.44,416.85,609500,1640996,1
416.86,417.34,416.66,416.9,516400,1618548,0
416.9,417.48,416.34,416.81,777500,1594496,0
416.81,417.15,416.5,416.58,518700,1556536,1
416.5999,417.14,416.01,416.98,665900,1522794,1
416.98,417.9664,416.9301,417.15,623500,1490072,1
417.15,417.8,416.905,417.67,444100,1450624,1
417.66,418.28,417.48,418.16,617600,1405480,1
418.19,418.55,418.1,418.205,614000,1362224,0
418.205,418.71,417.55,417.9299,842300,1328660,0
417.92,418.05,417.33,417.67,575500,1288816,1
417.68,418.22,417.53,418.16,517000,1176284,1
418.16,418.44,417.81,418.37,547400,1072278,1
418.375,418.56,417.91,418.5,550600,1025672,0
418.5,418.63,417.93,418.0899,640500,994762,0
418.0802,418.15,417.365,417.62,570300,972514,0
417.62,417.73,417.28,417.55,595800,950640,0
417.55,417.58,416.61,416.7099,1120300,932796,0
416.72,416.7265,416.27,416.54,726900,911272,0
416.54,416.59,415.66,415.75,1006400,894594,0
415.75,415.75,415.07,415.3,977200,879598,0
415.3,415.43,414.87,415.28,932700,865878,0
415.28,415.35,414.88,414.99,595000,851802,1
414.99,415.8,414.94,415.735,960800,849052,0
415.75,416.485,415.14,415.225,1051700,840212,1
415.225,415.8597,414.115,415.54,1504900,834988,1
415.55,416.03,414.5,415.84,971200,831872,1
415.84,416.8473,415.59,416.35,997900,833286,1
416.35,417.49,416.06,417.3167,953700,829692,0
417.31,417.5,416.84,416.97,919000,826102,1
416.97,417.96,416.86,417.7,800700,822916,0
417.7,417.98,416.65,417.69,836600,820324,0
417.69,417.87,416.74,416.8192,987600,805074,0
416.8192,417.67,415.97,416.7,982400,802444,0
416.7,417.01,416.21,416.65,861400,798534,1
416.65,417.34,416.15,417.13,1190500,805326,0
417.13,417.21,415.72,416,1611900,820708,0
416.01,416.04,414.79,415.285,1754900,836894,1
415.285,416.15,414.81,415.5,1643200,853862,1
415.5,416.9,414.95,416.6797,2851400,894782,0
416.6797,416.83,416.12,416.41,3998400,964294,0
417.13,417.15,416.15,416.28,1729600,987476,1
416.28,416.77,416.17,416.415,1401800,1001620,1
416.42,417.05,416.24,416.8706,1421700,1009410,1
416.85,417.42,416.72,417.33,1157700,1002802,0
417.34,417.36,416.31,416.37,1111400,1006108,0
416.39,416.72,416.02,416.0319,946400,1009570,0
416.0319,416.16,415.4,415.62,1366900,1022134,0
415.62,415.69,415.03,415.26,1105800,1027802,0
415.26,415.71,414.905,414.92,951000,1033112,0
414.92,415.1,414.45,414.865,1053500,1041992,1
414.865,415.32,414.71,415.05,757800,1046820,1
415.03,415.7,414.881,415.33,1064600,1052562,0
415.33,415.47,414.25,414.43,1045500,1063098,1
414.42,415.25,414.42,415.203,655400,1062888,1
415.203,415.55,415.04,415.26,712400,1064666,0
415.26,415.68,415.125,415.26,582600,1067436,0
415.26,415.32,414.7,414.91,653800,1068160,1
414.91,415.3068,414.75,415.06,512200,1066124,0
415.07,415.25,414.4901,414.7101,555900,1060396,1
414.73,415.15,414.575,415.06,406900,1057024,0
415.06,415.17,414.1235,414.3,621900,1059122,1
414.3,414.59,414.08,414.5893,586800,1059910,0
414.58,414.62,414.21,414.44,585800,1060614,0
414.45,414.68,414.03,414.34,418700,1056178,0
414.34,414.44,413.75,413.94,613600,1057044,1
413.95,414.345,413.7099,414.3,551800,1056164,1
414.3,414.61,414.19,414.425,544700,1044652,1
414.43,415.2699,414.3,415.255,672400,1043562,1
