Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower,Open1Prev,High1Prev,Low1Prev,Close1Prev,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
420.26,420.42,419.59,419.95,781200,951804,0,419.4132,420.57,419.35,420.2348,419.28,419.61,418.88,419.4008,419.19,419.54,418.74,419.28,419.35,419.55,419,419.19
419.95,420.03,419.245,419.26,687000,933624,1,420.26,420.42,419.59,419.95,419.4132,420.57,419.35,420.2348,419.28,419.61,418.88,419.4008,419.19,419.54,418.74,419.28
419.25,419.75,419.18,419.41,893800,917190,0,419.95,420.03,419.245,419.26,420.26,420.42,419.59,419.95,419.4132,420.57,419.35,420.2348,419.28,419.61,418.88,419.4008
419.41,419.63,419,419.3733,874400,900986,0,419.25,419.75,419.18,419.41,419.95,420.03,419.245,419.26,420.26,420.42,419.59,419.95,419.4132,420.57,419.35,420.2348
419.3733,419.79,419.19,419.3149,657900,893036,1,419.41,419.63,419,419.3733,419.25,419.75,419.18,419.41,419.95,420.03,419.245,419.26,420.26,420.42,419.59,419.95
419.33,420.07,419.27,419.95,668600,879854,0,419.3733,419.79,419.19,419.3149,419.41,419.63,419,419.3733,419.25,419.75,419.18,419.41,419.95,420.03,419.245,419.26
419.94,420.52,419.47,419.85,879400,873454,1,419.33,420.07,419.27,419.95,419.3733,419.79,419.19,419.3149,419.41,419.63,419,419.3733,419.25,419.75,419.18,419.41
419.85,420.95,419.76,420.64,770900,868830,0,419.94,420.52,419.47,419.85,419.33,420.07,419.27,419.95,419.3733,419.79,419.19,419.3149,419.41,419.63,419,419.3733
420.64,420.86,420.1,420.58,625800,850848,0,419.85,420.95,419.76,420.64,419.94,420.52,419.47,419.85,419.33,420.07,419.27,419.95,419.3733,419.79,419.19,419.3149
420.54,420.67,419.87,420.3801,725900,834656,1,420.64,420.86,420.1,420.58,419.85,420.95,419.76,420.64,419.94,420.52,419.47,419.85,419.33,420.07,419.27,419.95
420.39,421,420.29,420.58,704100,827260,0,420.54,420.67,419.87,420.3801,420.64,420.86,420.1,420.58,419.85,420.95,419.76,420.64,419.94,420.52,419.47,419.85
420.58,420.58,419.39,419.45,951000,826606,1,420.39,421,420.29,420.58,420.54,420.67,419.87,420.3801,420.64,420.86,420.1,420.58,419.85,420.95,419.76,420.64
419.45,419.95,419.23,419.545,866500,820338,1,420.58,420.58,419.39,419.45,420.39,421,420.29,420.58,420.54,420.67,419.87,420.3801,420.64,420.86,420.1,420.58
419.545,420.4,419.48,420.26,648900,805166,1,419.45,419.95,419.23,419.545,420.58,420.58,419.39,419.45,420.39,421,420.29,420.58,420.54,420.67,419.87,420.3801
