Date,Open,High,Low,Close,FW Moving Average 25,RWG
5/19/22 10:18,390,391.05,389.835,390.81,389.6821,Green
5/19/22 10:20,390.81,391.04,390.36,390.475,389.7388,White
5/19/22 10:22,390.45,391.92,390.32,391.64,389.8895,Green
5/19/22 10:24,391.65,391.69,390.9,391.33,390.0103,White
5/19/22 10:26,391.34,391.49,390.63,390.775,390.0858,Red
5/19/22 10:28,390.775,390.95,389.3,389.745,390.081,Red
5/19/22 10:30,389.745,390.03,389.11,389.6,390.071,White
5/19/22 10:32,389.6,389.9,388.71,389.36,390.0464,White
5/19/22 10:34,389.36,390.5,389.16,390.08,390.0813,Green
5/19/22 10:36,390.0771,390.72,389.925,390.295,390.1311,White
5/19/22 10:38,390.295,390.42,389.56,389.63,390.1249,Red
5/19/22 10:40,389.6501,389.66,388.55,389.1138,390.0733,Red
5/19/22 10:42,389.1,389.105,388.33,388.52,389.9711,Red
5/19/22 10:44,388.52,389.28,388.2,388.32,389.8509,Red
5/19/22 10:46,388.32,389.12,388.26,388.98,389.7787,White
5/19/22 10:48,388.98,389.284,388.57,388.73,389.687,White
5/19/22 10:50,388.725,389.0332,388.05,388.415,389.5719,Red
5/19/22 10:52,388.415,388.82,387.86,387.94,389.4211,Red
5/19/22 10:54,387.94,389.27,387.9,388.99,389.3581,Green
5/19/22 10:56,388.99,390.2299,388.825,390.0253,389.3806,Green
5/19/22 10:58,390.02,390.03,388.93,389.2399,389.3442,White
5/19/22 11:00,389.2399,389.52,388.82,389.32,389.3162,White
5/19/22 11:02,389.32,390.06,389.15,389.86,389.3304,Green
5/19/22 11:04,389.86,389.98,389.45,389.9,389.3503,White
5/19/22 11:06,389.9,389.99,388.48,388.58,389.2685,Red
5/19/22 11:08,388.55,388.85,388.285,388.8441,389.2114,White
5/19/22 11:10,388.8441,389.36,388.48,389.32,389.1969,Green
5/19/22 11:12,389.3,390.24,389.21,390.2,389.2537,Green
5/19/22 11:14,390.2,390.28,389.38,389.57,389.2664,White
5/19/22 11:16,389.5605,389.67,388.9,389.17,389.2538,Red
5/19/22 11:18,389.16,389.35,388.51,389.19,389.2476,White
5/19/22 11:20,389.22,389.7,389.03,389.52,389.2686,Green
5/19/22 11:22,389.51,389.72,388.93,389.71,389.3044,Green
5/19/22 11:24,389.71,390.03,389.44,389.92,389.3553,Green
5/19/22 11:26,389.92,390.41,389.665,390.06,389.4174,Green
5/19/22 11:28,390.07,390.0986,389.18,389.455,389.4337,Red
5/19/22 11:30,389.455,389.7,389.13,389.5601,389.4587,White
5/19/22 11:32,389.5601,390.56,389.5601,390.37,389.5446,Green
5/19/22 11:34,390.37,390.72,389.99,390.66,389.6471,Green
5/19/22 11:36,390.68,391.1986,390.54,391.16,389.7808,Green
5/19/22 11:38,391.16,392.07,391.04,392.0599,389.9771,Green
5/19/22 11:40,392.0599,392.3144,391.64,392.13,390.1685,Green
5/19/22 11:42,392.13,393.25,392.11,393.0662,390.4205,Green
5/19/22 11:44,393.0662,393.34,392.9,393.29,390.674,Green
5/19/22 11:46,393.27,393.2894,392.53,392.69,390.868,Red
5/19/22 11:48,392.69,392.95,392.59,392.92,391.0716,White
