Date,Open,High,Low,Close,FW Moving Average 25,Volume ,NextHigherorLower
5/6/22 11:55,410.82,411.79,410.07,410.17,411.35,1183800,0
5/6/22 12:00,410.19,410.68,409.53,409.89,411.31,751200,1
5/6/22 12:05,409.89,411.57,409.53,411.54,411.38,1128200,1
5/6/22 12:10,411.54,413.12,411.41,411.8,411.46,1364900,0
5/6/22 12:15,411.8,411.88,409.93,410.24,411.4,1102200,0
5/6/22 12:20,410.24,411.08,409.7,409.8,411.3,946300,1
5/6/22 12:25,409.8,412.2,409.71,411.52,411.32,995500,1
5/6/22 12:30,411.53,412.22,411.15,411.81,411.37,914300,1
5/6/22 12:35,411.81,412.53,411.07,412.47,411.46,756200,0
5/6/22 12:40,412.47,412.84,410.85,411.86,411.49,917100,1
5/6/22 12:45,411.86,412.38,411.34,412.23,411.55,762300,0
5/6/22 12:50,412.23,412.7,412.03,412.1,411.58,655500,1
5/6/22 12:55,412.1,413.18,411.21,412.65,411.65,958100,1
5/6/22 13:00,412.65,413.98,412.48,413.78,411.8,1226200,1
5/6/22 13:05,413.79,414.36,413.18,414.19,411.97,1221800,0
5/6/22 13:10,414.19,414.19,412.71,413.24,412.08,1040000,0
5/6/22 13:15,413.27,413.52,412.58,412.65,412.13,983600,0
5/6/22 13:20,412.64,412.96,411.16,411.26,412.07,1156800,1
5/6/22 13:25,411.26,412.6,411,411.88,412.07,935900,1
5/6/22 13:30,411.88,412.61,411.24,412.07,412.08,1066000,1
5/6/22 13:35,412.07,412.79,411.89,412.5,412.13,906500,0
5/6/22 13:40,412.49,412.94,410.82,411.34,412.1,1174700,1
5/6/22 13:45,411.31,412.2,410.69,411.67,412.1,1203700,0
5/6/22 13:50,411.67,412.13,410.82,411.32,412.06,832100,0
5/6/22 13:55,411.32,411.53,409.87,410.07,411.93,1003500,1
5/6/22 14:00,410.08,410.28,409.79,410.11,411.8,683100,0
5/6/22 14:05,410.11,410.75,409.65,409.86,411.66,1151700,0
