Date,Open,High,Low,Close,FW Moving Average 25,RWG
44699.58889,393.16,393.16,392.73,392.84,393.3345,White
44699.59028,392.84,393.22,392.6,393.18,393.2965,Green
44699.59167,393.18,393.48,392.84,393,393.2473,White
44699.59306,393,393.09,392.65,392.81,393.1882,Red
44699.59444,392.81,392.91,392.33,392.52,393.1118,Red
44699.59583,392.5482,393.47,392.46,393.24,393.0957,Green
44699.59722,393.24,393.6,393.1701,393.32,393.0888,White
44699.59861,393.32,393.57,392.902,393.44,393.0943,White
44699.6,393.44,393.73,393.14,393.455,393.1044,White
44699.60139,393.46,393.595,393.1,393.545,393.1239,White
44699.60278,393.55,393.79,393.35,393.71,393.1594,Green
44699.60417,393.72,393.82,393.53,393.72,393.198,White
44699.60556,393.72,393.89,392.91,393.04,393.1876,Red
44699.60694,393.05,393.22,392.7,392.7201,393.1557,Red
44699.60833,392.7201,392.81,392.36,392.36,393.0992,Red
44699.60972,392.36,392.4,391.87,392.043,393.0221,Red
44699.61111,392.0199,392.53,391.99,392.3,392.9683,White
44699.6125,392.29,392.78,392.24,392.34,392.9197,White
44699.61389,392.34,392.46,392.17,392.19,392.8615,Red
44699.61528,392.19,392.37,392,392.15,392.8014,Red
44699.61667,392.1399,392.3,391.84,391.85,392.7195,Red
44699.61806,391.85,392.84,391.47,392.491,392.6903,Green
44699.61944,392.491,392.82,392.31,392.46,392.6603,White
44699.62083,392.4499,392.47,392.06,392.26,392.6166,Red
44699.62222,392.26,392.5,391.85,392.34,392.5807,White
44699.62361,392.34,392.35,391.94,392.06,392.5259,White
44699.625,392.06,392.14,391.43,391.6851,392.4446,Red
44699.62639,391.69,392.33,391.615,392.02,392.3937,White
44699.62778,392.02,392.18,391.8,391.82,392.3304,White
44699.62917,391.82,392.26,391.73,392.13,392.294,White
44699.63056,392.13,392.6839,391.87,392.51,392.2881,Green
44699.63194,392.51,392.53,391.86,391.9,392.2374,White
44699.63333,391.9,392.46,391.83,392.41,392.2303,White
44699.63472,392.34,392.35,391.74,391.8315,392.182,White
44699.63611,391.8315,392.17,391.6501,391.97,392.1493,White
44699.6375,391.96,392.32,391.9,391.9,392.116,White
44699.63889,391.9,392.03,391.73,391.94,392.0914,White
44699.64028,391.94,392.34,391.8007,391.9299,392.0715,White
44699.64167,391.9,391.9,391.17,391.19,391.998,Red
44699.64306,391.19,391.2,390.91,390.9299,391.9093,Red
44699.64444,390.9299,391.09,390.72,390.91,391.8235,White
44699.64583,390.89,391.1,390.7,390.85,391.7365,White
44699.64722,390.86,391.26,390.72,391,391.6655,White
44699.64861,391,391.04,390.71,390.94,391.5941,White
44699.65,390.945,391.09,390.73,391.07,391.5364,Green
44699.65139,391.07,392.3,391.03,392.29,391.576,Green
44699.65278,392.29,392.74,391.88,392.34,391.618,Green
44699.65417,392.34,392.67,392.08,392.34,391.6605,White
44699.65556,392.34,392.46,391.23,391.41,391.6318,Red
44699.65694,391.41,391.84,391.3,391.37,391.6027,White
44699.65833,391.37,391.59,391.06,391.46,391.5835,White
44699.65972,391.46,391.56,390.83,391.08,391.5369,White
44699.66111,391.09,392.0364,390.8,391.315,391.5102,White
44699.6625,391.32,391.51,390.95,391.01,391.4623,White
44699.66389,391.02,391.53,390.55,391.46,391.4514,White
44699.66528,391.435,391.75,390.91,391.46,391.4426,White
44699.66667,391.47,392.2,391.29,391.89,391.4702,Green
44700.39722,388.62,389.7,388.47,389.69,391.3285,Red
44700.39861,389.69,390.61,389.45,390.45,391.2536,Green
44700.4,390.44,390.62,389.93,390.47,391.1846,White
44700.40139,390.47,391.79,390.45,391.64,391.2101,Green
44700.40278,391.67,391.79,390.44,390.87,391.1772,White
44700.40417,390.88,391.2169,390.33,390.71,391.1353,White
44700.40556,390.71,390.88,389.36,389.55,391.008,Red
44700.40694,389.5354,389.7737,388.68,388.705,390.8206,Red
44700.40833,388.705,388.89,387.62,387.78,390.569,Red
44700.40972,387.78,388.03,387.32,387.5187,390.3069,Red
44700.41111,387.5399,387.86,387.11,387.66,390.0659,White
44700.4125,387.7,387.89,387.18,387.43,389.8176,White
44700.41389,387.43,388.9,387.35,388.89,389.6923,Green
44700.41528,388.89,389.65,388.87,389.025,389.5841,Green
44700.41667,389.025,389.025,388,388.64,389.4563,Red
44700.41806,388.63,390.26,388.25,390.26,389.4645,Green
